state,county,county_fips
Wisconsin,Barron,55005
Oklahoma,Bryan,40013
Tennessee,Monroe,47123
Iowa,Clinton,19045
Georgia,Habersham,13137
Virginia,Charlottesville,51540
Minnesota,Beltrami,27007
Ohio,Auglaize,39011
Indiana,Jackson,18071
Indiana,Marshall,18099
Wisconsin,Monroe,55081
Pennsylvania,Mifflin,42087
Texas,Caldwell,48055
Ohio,Logan,39091
Mississippi,Hancock,28045
Oklahoma,Osage,40113
Arkansas,Greene,05055
Pennsylvania,Perry,42099
Vermont,Windham,50025
Georgia,Colquitt,13071
Michigan,Hillsdale,26059
California,Calaveras,06009
Georgia,Thomas,13275
Louisiana,Washington,22117
Texas,Kendall,48259
Texas,Wood,48499
Kentucky,Hopkins,21107
Wisconsin,Dunn,55033
Alabama,Chilton,01021
Wisconsin,Polk,55095
Indiana,Lawrence,18093
Minnesota,Itasca,27061
Georgia,Bryan,13029
Indiana,Shelby,18145
Illinois,Macoupin,17117
Montana,Ravalli,30081
Missouri,Phelps,29161
Michigan,Branch,26023
Kentucky,Henderson,21101
North Carolina,Beaufort,37013
North Carolina,Stokes,37169
New York,Delaware,36025
North Carolina,McDowell,37111
Mississippi,Washington,28151
Missouri,Callaway,29027
Kentucky,Barren,21009
Illinois,Stephenson,17177
Washington,Kittitas,53037
Tennessee,Lawrence,47099
Mississippi,Warren,28149
Virginia,Shenandoah,51171
Pennsylvania,Jefferson,42065
Ohio,Holmes,39075
Pennsylvania,Huntingdon,42061
Wisconsin,Douglas,55031
California,Siskiyou,06093
Louisiana,St. Bernard,22087
Ohio,Madison,39097
Florida,Suwannee,12121
Oklahoma,Kay,40071
Georgia,Baldwin,13009
Oklahoma,Pittsburg,40121
Florida,Gadsden,12039
Ohio,Brown,39015
Minnesota,Kandiyohi,27067
Indiana,Dubois,18037
South Carolina,Chesterfield,45025
New Hampshire,Sullivan,33019
Indiana,DeKalb,18033
Ohio,Highland,39071
Florida,Levy,12075
Missouri,Camden,29029
Washington,Douglas,53017
North Carolina,Richmond,37153
Oklahoma,Stephens,40137
Missouri,Pettis,29159
Georgia,Coffee,13069
North Carolina,Davie,37059
Georgia,Polk,13233
Tennessee,Franklin,47051
Iowa,Cerro Gordo,19033
Iowa,Muscatine,19139
Pennsylvania,Union,42119
Colorado,Montrose,08085
Texas,Erath,48143
Arkansas,Miller,05091
Virginia,Prince George,51149
Virginia,Manassas,51683
Ohio,Fulton,39051
Utah,Summit,49043
Virginia,Danville,51590
North Carolina,Vance,37181
Oklahoma,McClain,40087
North Carolina,Jackson,37099
Washington,Okanogan,53047
Ohio,Mercer,39107
Missouri,Butler,29023
Tennessee,Fayette,47047
West Virginia,Ohio,54069
Idaho,Nez Perce,16069
Wisconsin,Pierce,55093
Wyoming,Sweetwater,56037
Ohio,Clinton,39027
Louisiana,St. John the Baptist,22095
Georgia,Oconee,13219
Ohio,Crawford,39033
Texas,Cooke,48097
Wisconsin,Marinette,55075
Arkansas,Baxter,05005
Texas,Wharton,48481
Michigan,Gratiot,26057
Minnesota,Benton,27009
Texas,Upshur,48459
Minnesota,Isanti,27059
Alabama,Tallapoosa,01123
Georgia,Tift,13277
Oregon,Clatsop,41007
Pennsylvania,Tioga,42117
Tennessee,Cheatham,47021
Tennessee,Warren,47177
Ohio,Preble,39135
Wisconsin,Shawano,55115
Virginia,Warren,51187
Oklahoma,Delaware,40041
Michigan,Sanilac,26151
Maine,Knox,23013
California,Amador,06005
West Virginia,Fayette,54019
Pennsylvania,McKean,42083
North Carolina,Pasquotank,37139
Virginia,Tazewell,51185
Ohio,Ottawa,39123
Indiana,LaGrange,18087
Arkansas,Mississippi,05093
New York,Wyoming,36121
New Mexico,Rio Arriba,35039
New York,Orleans,36073
Michigan,Mecosta,26107
Mississippi,Pike,28113
Minnesota,Mower,27099
Georgia,Murray,13213
Iowa,Marshall,19127
Missouri,Howell,29091
Florida,Hendry,12051
Idaho,Latah,16057
Florida,Okeechobee,12093
Pennsylvania,Snyder,42109
Maine,Waldo,23027
Indiana,Harrison,18061
Oklahoma,Sequoyah,40135
Louisiana,Avoyelles,22009
Wyoming,Fremont,56013
Tennessee,Campbell,47013
Oklahoma,Mayes,40097
Missouri,Webster,29225
North Carolina,Person,37145
Minnesota,Douglas,27041
North Dakota,Williams,38105
Texas,Jim Wells,48249
Wisconsin,Oconto,55083
Kansas,Crawford,20037
West Virginia,Wayne,54099
Virginia,Isle of Wight,51093
Virginia,Gloucester,51073
Iowa,Des Moines,19057
Arkansas,Union,05139
Ohio,Champaign,39021
South Carolina,Colleton,45029
Pennsylvania,Susquehanna,42115
Pennsylvania,Warren,42123
Arizona,Graham,04009
Illinois,Woodford,17203
Ohio,Guernsey,39059
Alabama,Dallas,01047
Ohio,Defiance,39039
South Dakota,Brown,46013
Missouri,Lawrence,29109
Kansas,Finney,20055
Texas,Brown,48049
Oklahoma,Pontotoc,40123
Virginia,Louisa,51109
Missouri,Scott,29201
Indiana,Montgomery,18107
South Carolina,Newberry,45071
Arkansas,Independence,05063
Pennsylvania,Clinton,42035
Indiana,Cass,18017
Illinois,Franklin,17055
Iowa,Jasper,19099
Wisconsin,Oneida,55085
Maryland,Talbot,24041
Arkansas,Boone,05009
Illinois,Marion,17121
Alabama,Covington,01039
Wyoming,Albany,56001
Pennsylvania,Clarion,42031
Louisiana,Natchitoches,22069
Vermont,Addison,50001
Michigan,Houghton,26061
Minnesota,Steele,27147
Kentucky,Calloway,21035
Vermont,Bennington,50003
New York,Essex,36031
North Carolina,Yadkin,37197
Nebraska,Dodge,31053
North Carolina,Dare,37055
North Carolina,Macon,37113
Wisconsin,Green,55045
Illinois,Jefferson,17081
Texas,Hopkins,48223
Illinois,Clinton,17027
Iowa,Webster,19187
Ohio,Williams,39171
Indiana,Putnam,18133
Oklahoma,Okmulgee,40111
Kentucky,Clark,21049
Maine,Sagadahoc,23023
Michigan,Delta,26041
Tennessee,Dyer,47045
Louisiana,Webster,22119
Alabama,Escambia,01053
Minnesota,McLeod,27085
Kentucky,Graves,21083
Indiana,Huntington,18069
Michigan,Chippewa,26033
Kentucky,Whitley,21235
Ohio,Coshocton,39031
Virginia,Orange,51137
Louisiana,Beauregard,22011
North Carolina,Alexander,37003
Minnesota,Carlton,27017
Texas,Matagorda,48321
Kansas,Geary,20061
Tennessee,Cocke,47029
Indiana,Knox,18083
Texas,Hill,48217
Virginia,Wise,51195
Missouri,Laclede,29105
Texas,Fannin,48147
Nebraska,Scotts Bluff,31157
Indiana,Miami,18103
Utah,Uintah,49047
Georgia,Ware,13299
Kentucky,Greenup,21089
Indiana,Adams,18001
Iowa,Sioux,19167
Texas,Washington,48477
Pennsylvania,Greene,42059
Kentucky,Floyd,21071
Illinois,Livingston,17105
Missouri,Warren,29219
Nebraska,Madison,31119
Maine,Lincoln,23015
Ohio,Perry,39127
Tennessee,Lincoln,47103
Montana,Silver Bow,30093
Iowa,Wapello,19179
Minnesota,Becker,27005
Ohio,Morrow,39117
Utah,Wasatch,49051
Georgia,Harris,13145
Illinois,Monroe,17133
Mississippi,Lincoln,28085
Mississippi,Alcorn,28003
Wisconsin,Clark,55019
Missouri,Barry,29009
Kansas,Cowley,20035
South Dakota,Brookings,46011
Alabama,Chambers,01017
Illinois,Effingham,17049
Tennessee,Marshall,47117
Nebraska,Lincoln,31111
Indiana,Steuben,18151
Texas,Howard,48227
New Mexico,Taos,35055
Ohio,Putnam,39137
Minnesota,Nicollet,27103
Kansas,Miami,20121
Indiana,Whitley,18183
Florida,DeSoto,12027
North Carolina,Scotland,37165
Illinois,Lee,17103
Nebraska,Platte,31141
Kansas,Ford,20057
West Virginia,Preston,54077
Mississippi,Monroe,28095
Michigan,Emmet,26047
Minnesota,Morrison,27097
Virginia,Halifax,51083
Mississippi,Marshall,28093
Kansas,Harvey,20079
Illinois,Christian,17021
Virginia,Pulaski,51155
Michigan,Wexford,26165
Virginia,Botetourt,51023
Oklahoma,Lincoln,40081
Florida,Wakulla,12129
Illinois,Fulton,17057
New York,Seneca,36099
Iowa,Marion,19125
Iowa,Lee,19111
Georgia,Pickens,13227
Georgia,Lumpkin,13187
Virginia,Accomack,51001
Indiana,Daviess,18027
Maryland,Caroline,24011
Virginia,Petersburg,51730
Illinois,Bureau,17011
North Dakota,Morton,38059
Mississippi,Panola,28107
North Carolina,Transylvania,37175
Arkansas,Hot Spring,05059
Alabama,Lawrence,01079
Indiana,Jefferson,18077
Indiana,Jasper,18073
Texas,Jasper,48241
Tennessee,Rhea,47143
Indiana,Clinton,18023
Indiana,Gibson,18051
Washington,Jefferson,53031
Alabama,Pike,01109
West Virginia,Greenbrier,54025
North Dakota,Stark,38089
Georgia,Lee,13177
Tennessee,Weakley,47183
Illinois,Morgan,17137
Missouri,Lafayette,29107
Ohio,Jackson,39079
Maryland,Dorchester,24019
Texas,Hale,48189
West Virginia,Logan,54045
Louisiana,Evangeline,22039
Tennessee,Henry,47079
Louisiana,Jefferson Davis,22053
Kansas,Lyon,20111
South Carolina,Chester,45023
Alaska,Juneau,02110
Tennessee,Claiborne,47025
Alabama,Franklin,01059
Missouri,Polk,29167
California,Lassen,06035
Kentucky,Marshall,21157
Oregon,Malheur,41045
Georgia,Gilmer,13123
Montana,Lake,30047
Michigan,Huron,26063
Kansas,Montgomery,20125
New Hampshire,Coos,33007
Virginia,Amherst,51009
Idaho,Jefferson,16051
Missouri,Stone,29209
Texas,Titus,48449
Mississippi,Pontotoc,28115
Virginia,Caroline,51033
Wyoming,Sheridan,56033
Colorado,Delta,08029
South Carolina,Clarendon,45027
Nebraska,Adams,31001
Minnesota,Polk,27119
Maine,Washington,23029
Indiana,Wabash,18169
Oklahoma,McCurtain,40089
Michigan,Clare,26035
Texas,Bee,48025
Colorado,Summit,08117
Indiana,Greene,18055
Pennsylvania,Elk,42047
South Carolina,Williamsburg,45089
Texas,Kleberg,48273
Minnesota,Freeborn,27047
Wisconsin,Vernon,55123
Kentucky,Muhlenberg,21177
Mississippi,Bolivar,28011
Wisconsin,Trempealeau,55121
Tennessee,Obion,47131
Ohio,Hardin,39065
Kentucky,Boyle,21021
West Virginia,Marshall,54051
Virginia,Powhatan,51145
Oklahoma,Ottawa,40115
Vermont,Caledonia,50005
Illinois,Randolph,17157
Texas,Austin,48015
Georgia,Madison,13195
Virginia,Mecklenburg,51117
Tennessee,Giles,47055
Minnesota,Cass,27021
Georgia,Wayne,13305
Louisiana,Iberville,22047
Kentucky,Knox,21121
Georgia,Haralson,13143
Kansas,McPherson,20113
Wisconsin,Door,55029
South Dakota,Meade,46093
New York,Schoharie,36095
Kentucky,Meade,21163
Wyoming,Park,56029
Maine,Franklin,23007
North Carolina,Bladen,37017
Virginia,Smyth,51173
South Carolina,Jasper,45053
Texas,Grimes,48185
Vermont,Orange,50017
Mississippi,Adams,28001
Georgia,Sumter,13261
Ohio,Gallia,39053
South Carolina,Marion,45067
Alabama,Marion,01093
Michigan,Mason,26105
Virginia,Carroll,51035
Minnesota,Pine,27115
Georgia,Decatur,13087
Colorado,Morgan,08087
Indiana,Ripley,18137
Mississippi,Neshoba,28099
Kansas,Ellis,20051
Michigan,Alpena,26007
West Virginia,Hancock,54029
Ohio,Fayette,39047
North Carolina,Cherokee,37039
Maryland,Garrett,24023
Tennessee,Marion,47115
Ohio,Van Wert,39161
Utah,Sanpete,49039
Minnesota,Le Sueur,27079
Idaho,Elmore,16039
California,Glenn,06021
Missouri,Stoddard,29207
Texas,Cass,48067
North Carolina,Currituck,37053
Texas,Palo Pinto,48363
Missouri,Marion,29127
South Dakota,Codington,46029
Wisconsin,Lincoln,55069
Oklahoma,Custer,40039
Georgia,Jones,13169
Tennessee,Carroll,47017
Arkansas,Carroll,05015
Illinois,Montgomery,17135
Georgia,Monroe,13207
Virginia,Wythe,51197
Virginia,Fredericksburg,51630
South Carolina,Dillon,45033
Mississippi,Copiah,28029
Kentucky,Montgomery,21173
Missouri,Dunklin,29069
Indiana,Wells,18179
Georgia,White,13311
Kentucky,Perry,21193
Indiana,Washington,18175
Ohio,Hocking,39073
Virginia,Winchester,51840
Mississippi,Tate,28137
Virginia,Dinwiddie,51053
Georgia,Peach,13225
Illinois,Logan,17107
New Mexico,Grant,35017
West Virginia,Randolph,54083
Florida,Baker,12003
Mississippi,Scott,28123
Mississippi,Leflore,28083
Mississippi,Union,28145
West Virginia,Jackson,54035
Tennessee,Henderson,47077
Florida,Bradford,12007
Texas,San Jacinto,48407
Georgia,Upson,13293
Indiana,Jennings,18079
Ohio,Henry,39069
Ohio,Adams,39001
Kentucky,Logan,21141
Mississippi,Yazoo,28163
California,Del Norte,06015
Vermont,Orleans,50019
Virginia,Fluvanna,51065
Tennessee,White,47185
Louisiana,West Baton Rouge,22121
Illinois,McDonough,17109
Georgia,Dawson,13085
Oregon,Tillamook,41057
New Mexico,San Miguel,35047
New Mexico,Cibola,35006
South Carolina,Union,45087
Ohio,Pike,39131
Illinois,Iroquois,17075
Virginia,King George,51099
West Virginia,Mineral,54057
Texas,Gillespie,48171
Georgia,Toombs,13279
Oklahoma,Caddo,40015
Kentucky,Woodford,21239
Tennessee,Hardin,47071
Louisiana,De Soto,22031
Ohio,Carroll,39019
North Carolina,Ashe,37009
Nebraska,Cass,31025
Georgia,Stephens,13257
Michigan,Oceana,26127
Iowa,Boone,19015
Wisconsin,Juneau,55057
New York,Lewis,36049
Minnesota,Mille Lacs,27095
Kentucky,Carter,21043
Alabama,Geneva,01061
Oregon,Wasco,41065
Kentucky,Harlan,21095
South Carolina,Marlboro,45069
Kentucky,Grayson,21085
Colorado,Elbert,08039
Indiana,Decatur,18031
Indiana,Clay,18021
Oregon,Union,41061
Pennsylvania,Wyoming,42131
South Carolina,Edgefield,45037
Michigan,Charlevoix,26029
Georgia,Hart,13147
Georgia,Grady,13131
Colorado,Montezuma,08083
Kentucky,Taylor,21217
South Dakota,Lawrence,46081
Vermont,Lamoille,50015
Kansas,Franklin,20059
Michigan,Dickinson,26043
Arkansas,Johnson,05071
Tennessee,McNairy,47109
Mississippi,Simpson,28127
Minnesota,Brown,27015
Mississippi,Sunflower,28133
North Carolina,Montgomery,37123
Oklahoma,Garvin,40049
Virginia,Russell,51167
Michigan,Cheboygan,26031
Iowa,Benton,19011
Iowa,Plymouth,19149
Virginia,Staunton,51790
Idaho,Payette,16075
Florida,Hardee,12049
Georgia,Butts,13035
Tennessee,Hardeman,47069
West Virginia,Mason,54053
Kansas,Pottawatomie,20149
Kansas,Barton,20009
Michigan,Gladwin,26051
Louisiana,Morehouse,22067
Georgia,Fannin,13111
Nevada,Churchill,32001
New Mexico,Luna,35029
Virginia,Salem,51775
Tennessee,Macon,47111
Minnesota,Lyon,27083
Michigan,Iosco,26069
Missouri,Adair,29001
Minnesota,Todd,27153
Indiana,Posey,18129
Michigan,Otsego,26137
Tennessee,Lauderdale,47097
Kentucky,Grant,21081
Texas,Milam,48331
Alabama,Cherokee,01019
Michigan,Manistee,26101
Florida,Washington,12133
Iowa,Bremer,19017
Tennessee,Hickman,47081
Oregon,Crook,41013
Arkansas,Cleburne,05023
Mississippi,Prentiss,28117
Colorado,Routt,08107
Virginia,Goochland,51075
Georgia,Chattooga,13055
Georgia,Union,13291
Alabama,Barbour,01005
Missouri,Audrain,29007
Idaho,Cassia,16031
Missouri,Miller,29131
Texas,Uvalde,48463
Missouri,Texas,29215
Oklahoma,Jackson,40065
Colorado,Teller,08119
New York,Yates,36123
Maryland,Somerset,24039
Wisconsin,Waushara,55137
Oregon,Jefferson,41031
Missouri,Randolph,29175
Indiana,White,18181
West Virginia,Nicholas,54067
Indiana,Randolph,18135
Texas,Fayette,48149
Kentucky,Rowan,21205
Mississippi,George,28039
Idaho,Jerome,16053
Indiana,Scott,18143
South Carolina,Abbeville,45001
Mississippi,Marion,28091
Georgia,Burke,13033
Kentucky,Lincoln,21137
Georgia,Tattnall,13267
Kentucky,Bell,21013
Idaho,Blaine,16013
Virginia,Fairfax,51600
Texas,Shelby,48419
Texas,Aransas,48007
Nebraska,Dawson,31047
Oregon,Hood River,41027
Mississippi,Itawamba,28057
West Virginia,Upshur,54097
Kentucky,Anderson,21005
Kentucky,Ohio,21183
Wisconsin,Iowa,55049
Virginia,Page,51139
Michigan,Antrim,26009
Illinois,Saline,17165
Alabama,Winston,01133
Tennessee,Grainger,47057
Oklahoma,Seminole,40133
Missouri,Washington,29221
Michigan,Roscommon,26143
Pennsylvania,Juniata,42067
Georgia,Franklin,13119
West Virginia,Mingo,54059
Michigan,Menominee,26109
Oregon,Curry,41015
Washington,Pacific,53049
Indiana,Fayette,18041
Missouri,McDonald,29119
Minnesota,Meeker,27093
Wyoming,Teton,56039
South Dakota,Yankton,46135
Indiana,Starke,18149
Louisiana,Plaquemines,22075
Virginia,New Kent,51127
West Virginia,Hampshire,54027
Missouri,Saline,29195
Wisconsin,Vilas,55125
Arkansas,St. Francis,05123
Missouri,Ray,29177
Alabama,Clarke,01025
Virginia,Hopewell,51670
Missouri,Crawford,29055
Michigan,Osceola,26133
Arkansas,Poinsett,05111
Georgia,Emanuel,13107
Indiana,Franklin,18047
Washington,Klickitat,53039
Louisiana,Allen,22003
North Carolina,Caswell,37033
Arkansas,Columbia,05027
Virginia,Rockbridge,51163
Kentucky,Mercer,21167
Kentucky,Johnson,21115
Arkansas,Ouachita,05103
Tennessee,Overton,47133
Texas,Panola,48365
Iowa,Washington,19183
Kansas,Sumner,20191
Michigan,Leelanau,26089
Nebraska,Saunders,31155
Washington,Asotin,53003
West Virginia,Brooke,54009
Virginia,Waynesboro,51820
Oklahoma,Beckham,40009
Virginia,Lee,51105
Alabama,Bibb,01007
Ohio,Meigs,39105
Texas,Limestone,48293
Louisiana,Sabine,22085
Georgia,Putnam,13237
North Carolina,Anson,37007
Minnesota,Nobles,27105
Louisiana,Grant,22043
Alabama,Randolph,01111
Texas,Houston,48225
Missouri,Henry,29083
Iowa,Mahaska,19123
North Carolina,Martin,37117
Illinois,Jo Daviess,17085
Kansas,Seward,20175
Virginia,Prince Edward,51147
Tennessee,Scott,47151
Texas,Lampasas,48281
Ohio,Wyandot,39175
California,Colusa,06011
Mississippi,Tippah,28139
Georgia,McDuffie,13189
West Virginia,Boone,54005
Utah,Sevier,49041
Nebraska,Gage,31067
Texas,Llano,48299
Georgia,Mitchell,13205
North Carolina,Hertford,37091
Idaho,Minidoka,16067
North Dakota,Stutsman,38093
Virginia,Scott,51169
Texas,Gaines,48165
Texas,Hockley,48219
Kentucky,Letcher,21133
Minnesota,Hubbard,27057
Mississippi,Grenada,28043
Arkansas,Clark,05019
Illinois,Fayette,17051
Illinois,Jersey,17083
Minnesota,Wabasha,27157
Florida,Taylor,12123
North Carolina,Madison,37115
Indiana,Owen,18119
Mississippi,Leake,28079
Nebraska,Dakota,31043
Colorado,Logan,08075
Texas,Moore,48341
Mississippi,Newton,28101
Texas,Gray,48179
Mississippi,Coahoma,28027
Minnesota,Fillmore,27045
Arkansas,Logan,05083
West Virginia,Wyoming,54109
Texas,Bandera,48019
Missouri,Morgan,29141
Missouri,Clinton,29049
Oklahoma,Texas,40139
Missouri,Nodaway,29147
Tennessee,Morgan,47129
Louisiana,Assumption,22007
Louisiana,Union,22111
Illinois,Shelby,17173
Illinois,Perry,17145
Wisconsin,Jackson,55053
South Carolina,Fairfield,45039
Minnesota,Dodge,27039
Nebraska,Washington,31177
Michigan,Ogemaw,26129
Indiana,Sullivan,18153
Arkansas,Conway,05029
Kentucky,Allen,21003
Iowa,Jones,19105
Wisconsin,Adams,55001
Iowa,Carroll,19027
Georgia,Worth,13321
Iowa,Buena Vista,19021
Georgia,Meriwether,13199
South Carolina,Barnwell,45011
Louisiana,Pointe Coupee,22077
Virginia,Greene,51079
Iowa,Buchanan,19019
Texas,Hutchinson,48233
Texas,Colorado,48089
Wisconsin,Kewaunee,55061
Washington,Adams,53001
Wyoming,Uinta,56041
Massachusetts,Dukes,25007
Kentucky,Breckinridge,21027
Indiana,Jay,18075
Iowa,Henry,19087
Indiana,Fulton,18049
Oklahoma,Woodward,40153
West Virginia,Lincoln,54043
North Carolina,Greene,37079
Indiana,Carroll,18015
Texas,Lavaca,48285
Arkansas,Yell,05149
Utah,Carbon,49007
Kentucky,Clay,21051
Texas,Willacy,48489
Georgia,Crisp,13081
Virginia,Buchanan,51027
Kentucky,Bourbon,21017
New Mexico,Lincoln,35027
Tennessee,DeKalb,47041
Texas,Montague,48337
Georgia,Morgan,13211
Montana,Lincoln,30053
Texas,Calhoun,48057
Kansas,Labette,20099
Louisiana,St. James,22093
Iowa,Winneshiek,19191
Arkansas,Hempstead,05057
Tennessee,Smith,47159
Louisiana,Richland,22083
Wisconsin,Taylor,55119
Georgia,Dodge,13091
Georgia,Washington,13303
South Dakota,Davison,46035
Texas,Tyler,48457
Minnesota,Martin,27091
Indiana,Spencer,18147
Tennessee,Union,47173
Texas,DeWitt,48123
Georgia,Pierce,13229
Alabama,Monroe,01099
Wyoming,Lincoln,56023
Utah,Duchesne,49013
Missouri,Vernon,29217
Indiana,Orange,18117
Mississippi,Wayne,28153
Texas,Jones,48253
Louisiana,Franklin,22041
Texas,Gonzales,48177
Oklahoma,Adair,40001
Illinois,Douglas,17041
Kentucky,Wayne,21231
California,Plumas,06063
Kentucky,Marion,21155
Missouri,Benton,29015
Texas,Freestone,48161
Kentucky,Simpson,21213
Georgia,Elbert,13105
Colorado,Chaffee,08015
Kentucky,Spencer,21215
North Carolina,Polk,37149
Florida,Holmes,12059
Iowa,Fayette,19065
Wisconsin,Langlade,55067
Iowa,Jackson,19097
Louisiana,East Feliciana,22037
Arkansas,Polk,05113
Kansas,Cherokee,20021
Kentucky,Hart,21099
Maryland,Kent,24029
New Mexico,Los Alamos,35028
Idaho,Gem,16045
Alabama,Macon,01087
Indiana,Perry,18123
Alabama,Marengo,01091
Oklahoma,McIntosh,40091
Georgia,Pike,13231
New Mexico,Roosevelt,35041
Wisconsin,Green Lake,55047
South Dakota,Beadle,46005
Tennessee,Humphreys,47085
Georgia,Greene,13133
Arkansas,Ashley,05003
Alabama,Butler,01013
Missouri,Perry,29157
Minnesota,Waseca,27161
South Carolina,Saluda,45081
Alabama,Pickens,01107
West Virginia,McDowell,54047
South Carolina,Hampton,45049
Kentucky,Adair,21001
Mississippi,Tishomingo,28141
California,Inyo,06027
Ohio,Paulding,39125
Minnesota,Houston,27055
Kentucky,Harrison,21097
North Carolina,Warren,37185
Illinois,Crawford,17033
Louisiana,Concordia,22029
Georgia,Lamar,13171
Tennessee,Fentress,47049
Arkansas,Randolph,05121
Iowa,Poweshiek,19157
Mississippi,Clay,28025
Texas,Deaf Smith,48117
Colorado,Otero,08089
North Carolina,Yancey,37199
Alaska,Bethel,02050
Missouri,Ste. Genevieve,29186
Kansas,Dickinson,20041
Virginia,Westmoreland,51193
Iowa,Cedar,19031
Missouri,Wright,29229
Georgia,Appling,13001
Texas,Bosque,48035
Kansas,Jefferson,20087
Georgia,Banks,13011
Texas,Andrews,48003
Mississippi,Stone,28131
Mississippi,Covington,28031
Georgia,Berrien,13019
Pennsylvania,Montour,42093
Virginia,Colonial Heights,51570
Texas,Frio,48163
Georgia,Brantley,13025
Florida,Gilchrist,12041
Missouri,Andrew,29003
Michigan,Benzie,26019
Wisconsin,Sawyer,55113
Arkansas,Grant,05053
Kentucky,Russell,21207
Virginia,Southampton,51175
Washington,San Juan,53055
Florida,Madison,12079
Tennessee,Johnson,47091
Texas,Burleson,48051
Michigan,Kalkaska,26079
Texas,Young,48503
New York,Schuyler,36097
Virginia,King William,51101
Tennessee,Unicoi,47171
Mississippi,Attala,28007
North Carolina,Bertie,37015
South Dakota,Hughes,46065
Texas,Eastland,48133
Tennessee,Haywood,47075
Mississippi,Winston,28159
Missouri,Pike,29163
Iowa,Dickinson,19059
North Carolina,Avery,37011
Virginia,Patrick,51141
Nebraska,Seward,31159
Tennessee,Polk,47139
Colorado,Park,08093
Illinois,Hancock,17067
Texas,Lee,48287
North Carolina,Northampton,37131
Iowa,Delaware,19055
Arkansas,Sharp,05135
Tennessee,Chester,47023
Colorado,Pitkin,08097
Montana,Park,30067
Arkansas,Drew,05043
Alabama,Henry,01067
Nevada,Humboldt,32013
Wisconsin,Richland,55103
Georgia,Cook,13075
West Virginia,Morgan,54065
Kentucky,Garrard,21079
Georgia,Ben Hill,13017
Arkansas,Franklin,05047
Missouri,Dallas,29059
California,Mariposa,06043
Iowa,Clayton,19043
Virginia,Manassas Park,51685
Illinois,Union,17181
Kentucky,Mason,21161
Virginia,Bristol,51520
Arkansas,Arkansas,05001
Mississippi,Chickasaw,28017
Colorado,Gunnison,08051
Iowa,Tama,19171
Texas,Falls,48145
Maine,Piscataquis,23021
West Virginia,Lewis,54041
Georgia,Rabun,13241
Texas,Robertson,48395
Arkansas,Marion,05089
Missouri,Cooper,29053
Kentucky,McCreary,21147
Texas,Scurry,48415
Virginia,Buckingham,51029
Iowa,Hardin,19083
Illinois,Edgar,17045
Mississippi,Holmes,28051
Arkansas,Cross,05037
Georgia,Long,13183
Idaho,Idaho,16049
Arkansas,Jackson,05067
Illinois,Warren,17187
Illinois,Bond,17005
Florida,Dixie,12029
Arkansas,Madison,05087
Wisconsin,Lafayette,55065
Indiana,Rush,18139
Virginia,Giles,51071
South Dakota,Union,46127
Illinois,Piatt,17147
Oregon,Baker,41001
Wisconsin,Washburn,55129
Arizona,La Paz,04012
Iowa,Madison,19121
West Virginia,Taylor,54091
Iowa,Iowa,19095
Wisconsin,Burnett,55013
South Carolina,Lee,45061
North Dakota,Richland,38077
Indiana,Fountain,18045
Colorado,Alamosa,08003
New Mexico,Socorro,35053
Iowa,Crawford,19047
Iowa,Clay,19041
Pennsylvania,Potter,42105
Virginia,Radford,51750
Arkansas,Phillips,05107
Missouri,New Madrid,29143
Indiana,Parke,18121
Tennessee,Wayne,47181
Mississippi,Jasper,28061
Kansas,Atchison,20005
Alabama,Fayette,01057
Georgia,Brooks,13027
Arkansas,Lawrence,05075
Virginia,Appomattox,51011
Georgia,Dade,13083
Montana,Hill,30041
Kentucky,Lawrence,21127
Wisconsin,Bayfield,55007
Kentucky,Rockcastle,21203
Minnesota,Kanabec,27065
Illinois,Wayne,17191
Wisconsin,Crawford,55023
Missouri,Bates,29013
Tennessee,Sequatchie,47153
Wisconsin,Ashland,55003
Nebraska,Otoe,31131
Virginia,Brunswick,51025
Kentucky,Casey,21045
Tennessee,Benton,47005
Texas,Leon,48289
Arkansas,Sevier,05133
Arkansas,Van Buren,05141
California,Trinity,06105
Minnesota,Aitkin,27001
Kansas,Neosho,20133
Kansas,Osage,20139
Iowa,Jefferson,19101
Kentucky,Henry,21103
Colorado,Grand,08049
Illinois,Richland,17159
Illinois,Mercer,17131
Oklahoma,Pawnee,40117
Virginia,Nottoway,51135
Wisconsin,Marquette,55077
Iowa,Floyd,19067
Illinois,Carroll,17015
Georgia,Jefferson,13163
Missouri,Pemiscot,29155
Mississippi,Clarke,28023
Illinois,De Witt,17039
Virginia,Floyd,51063
West Virginia,Barbour,54001
Florida,Union,12125
Idaho,Gooding,16047
Indiana,Brown,18013
Oklahoma,Marshall,40095
Indiana,Vermillion,18165
Virginia,Williamsburg,51830
Illinois,Clark,17023
Alabama,Washington,01129
Minnesota,Redwood,27127
Missouri,Moniteau,29135
Louisiana,West Feliciana,22125
Virginia,Grayson,51077
Indiana,Tipton,18159
Illinois,Lawrence,17101
Minnesota,Roseau,27135
Oklahoma,Kingfisher,40073
Iowa,Page,19145
New Mexico,Torrance,35057
Missouri,Macon,29121
Virginia,Alleghany,51005
Alabama,Cleburne,01029
Texas,Pecos,48371
Kentucky,Fleming,21069
Louisiana,Jackson,22049
Michigan,Missaukee,26113
Michigan,Arenac,26011
Texas,Jackson,48239
